source_type,source_id,source_name,source_properties,relationship,relationship_properties,target_type,target_id,target_name,target_properties
"Company,comp_001,TechCorp Manufacturing GmbH,""{"
  founded_year: 1995,
  id: comp_001,
  sector: Manufacturing,
  updated_at: 2025-11-22T12:49:24.961000000Z,
  legal_form: GmbH,
  vision: To be the leading automation partner in DACH region by 2030,
  mission: Delivering innovative automation solutions for Industry 4.0,
  employee_count: 450,
  name: TechCorp Manufacturing GmbH,
  created_at: 2025-11-22T12:49:24.961000000Z,
  industry: Financial Technology,
  headquarters: Stuttgart, Germany
"}"",HAS_GOAL,{},Goal,goal_001,Increase Market Share,""{"
  progress_percentage: 35.0,
  id: goal_001,
  status: in_progress,
  description: Grow market share in DACH region from 8% to 12%,
  priority: high,
  name: Increase Market Share,
  timeframe: mid-term,
  target_date: 2026-12-31
"}"""
"Company,comp_001,TechCorp Manufacturing GmbH,""{"
  founded_year: 1995,
  id: comp_001,
  sector: Manufacturing,
  updated_at: 2025-11-22T12:49:24.961000000Z,
  legal_form: GmbH,
  vision: To be the leading automation partner in DACH region by 2030,
  mission: Delivering innovative automation solutions for Industry 4.0,
  employee_count: 450,
  name: TechCorp Manufacturing GmbH,
  created_at: 2025-11-22T12:49:24.961000000Z,
  industry: Financial Technology,
  headquarters: Stuttgart, Germany
"}"",HAS_GOAL,{},Goal,goal_002,Digital Transformation,""{"
  progress_percentage: 55.0,
  id: goal_002,
  status: in_progress,
  description: Digitalize 80% of core processes,
  priority: high,
  name: Digital Transformation,
  timeframe: short-term,
  target_date: 2025-12-31
"}"""
"Company,comp_001,TechCorp Manufacturing GmbH,""{"
  founded_year: 1995,
  id: comp_001,
  sector: Manufacturing,
  updated_at: 2025-11-22T12:49:24.961000000Z,
  legal_form: GmbH,
  vision: To be the leading automation partner in DACH region by 2030,
  mission: Delivering innovative automation solutions for Industry 4.0,
  employee_count: 450,
  name: TechCorp Manufacturing GmbH,
  created_at: 2025-11-22T12:49:24.961000000Z,
  industry: Financial Technology,
  headquarters: Stuttgart, Germany
"}"",HAS_GOAL,{},Goal,goal_003,Reduce Employee Turnover,""{"
  progress_percentage: 15.0,
  id: goal_003,
  status: planned,
  description: Lower turnover rate from 8.5% to 6%,
  priority: medium,
  name: Reduce Employee Turnover,
  timeframe: short-term,
  target_date: 2026-06-30
"}"""
"Company,comp_001,TechCorp Manufacturing GmbH,""{"
  founded_year: 1995,
  id: comp_001,
  sector: Manufacturing,
  updated_at: 2025-11-22T12:49:24.961000000Z,
  legal_form: GmbH,
  vision: To be the leading automation partner in DACH region by 2030,
  mission: Delivering innovative automation solutions for Industry 4.0,
  employee_count: 450,
  name: TechCorp Manufacturing GmbH,
  created_at: 2025-11-22T12:49:24.961000000Z,
  industry: Financial Technology,
  headquarters: Stuttgart, Germany
"}"",OFFERS,{},Product,prod_001,SmartControl X500,""{"
  id: prod_001,
  launch_date: 2022-03-15,
  lifecycle_stage: growth,
  revenue_contribution: 45.5,
  description: Financial Technology controller with AI capabilities,
  name: SmartControl X500,
  product_type: product
"}"""
"Company,comp_001,TechCorp Manufacturing GmbH,""{"
  founded_year: 1995,
  id: comp_001,
  sector: Manufacturing,
  updated_at: 2025-11-22T12:49:24.961000000Z,
  legal_form: GmbH,
  vision: To be the leading automation partner in DACH region by 2030,
  mission: Delivering innovative automation solutions for Industry 4.0,
  employee_count: 450,
  name: TechCorp Manufacturing GmbH,
  created_at: 2025-11-22T12:49:24.961000000Z,
  industry: Financial Technology,
  headquarters: Stuttgart, Germany
"}"",OFFERS,{},Product,prod_002,Consulting & Integration Services,""{"
  id: prod_002,
  launch_date: 2010-01-01,
  lifecycle_stage: maturity,
  revenue_contribution: 30.2,
  description: Custom automation integration and consulting,
  name: Consulting & Integration Services,
  product_type: service
"}"""
"Company,comp_001,TechCorp Manufacturing GmbH,""{"
  founded_year: 1995,
  id: comp_001,
  sector: Manufacturing,
  updated_at: 2025-11-22T12:49:24.961000000Z,
  legal_form: GmbH,
  vision: To be the leading automation partner in DACH region by 2030,
  mission: Delivering innovative automation solutions for Industry 4.0,
  employee_count: 450,
  name: TechCorp Manufacturing GmbH,
